# d=-12.2 u_star=-98.0121900131 m=-1.06901579073 C=1.14279476084
# s  F2_minus_ustar
-0.8481 -0.970063914975
-0.84645 -0.968142903016
-0.8448 -0.96622226887
-0.84315 -0.96430201205
-0.8415 -0.962382027336
-0.83985 -0.960462395395
-0.8382 -0.958543149133
-0.83655 -0.956624287429
-0.8349 -0.954705809981
-0.83325 -0.952787716326
-0.8316 -0.950870005544
-0.82995 -0.948952649411
-0.8283 -0.947035558895
-0.82665 -0.945118865717
-0.825 -0.943202569472
-0.82335 -0.941286669251
-0.8217 -0.939371164697
-0.82005 -0.937456055333
-0.8184 -0.935541351475
-0.81675 -0.933627041072
-0.8151 -0.931713123611
-0.81345 -0.929799593567
-0.8118 -0.927886449771
-0.81015 -0.925973700266
-0.8085 -0.924061344593
-0.80685 -0.922149381998
-0.8052 -0.920237812258
-0.80355 -0.918326634441
-0.8019 -0.916415848394
-0.80025 -0.914505453414
-0.7986 -0.912595448861
-0.79695 -0.910685834307
-0.7953 -0.908776609298
-0.79365 -0.906867773015
-0.792 -0.90495932528
-0.79035 -0.903050950931
-0.7887 -0.901143189914
-0.78705 -0.899235825264
-0.7854 -0.897328856642
-0.78375 -0.895422283471
-0.7821 -0.893516105391
-0.78045 -0.891610321879
-0.7788 -0.889704932583
-0.77715 -0.887799936874
-0.7755 -0.885895334372
-0.77385 -0.883991124729
-0.7722 -0.882087307372
-0.77055 -0.880183881838
-0.7689 -0.878280847706
-0.76725 -0.876347686235
-0.7656 -0.874443182964
-0.76395 -0.872539031956
-0.7623 -0.870618365957
-0.76065 -0.868715813876
-0.759 -0.866813618448
-0.75735 -0.864911778985
-0.7557 -0.863010295007
-0.75405 -0.861121497641
-0.7524 -0.859219759137
-0.75075 -0.857318379098
-0.7491 -0.855417357015
-0.74745 -0.853516692443
-0.7458 -0.851616384974
-0.74415 -0.849716434156
-0.7425 -0.84777351038
-0.74085 -0.845871859592
-0.7392 -0.843970523679
-0.73755 -0.842069502022
-0.7359 -0.840168794271
-0.73425 -0.838268399816
-0.7326 -0.836368318138
-0.73095 -0.834468548728
-0.7293 -0.832569091097
-0.72765 -0.830669944629
-0.726 -0.828771108974
-0.72435 -0.826872583496
-0.7227 -0.824974367793
-0.72105 -0.823076461126
-0.7194 -0.821178863302
-0.71775 -0.819281573528
-0.7161 -0.817384591454
-0.71445 -0.8154879165
-0.7128 -0.813591548244
-0.71115 -0.811695486003
-0.7095 -0.809799729514
-0.70785 -0.807904277894
-0.7062 -0.806009130983
-0.70455 -0.804114288094
-0.7029 -0.802219748827
-0.70125 -0.800325512514
-0.6996 -0.798431652098
-0.69795 -0.796538314768
